"","RegionID","RegionName","CountyName","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
"1",61639,10025,"New York",NA,NA,NA,NA,NA,NA,NA,NA,678.111111111111,752.916666666667,885.75,856.666666666667,895.416666666667,838.833333333333,861.916666666667,879,924.461538461538,1027.25,1133.33333333333,1195,1317.83333333333,1295.8
"2",61637,10023,"New York",NA,NA,NA,NA,NA,NA,NA,NA,1046.5,1060.66666666667,1206.16666666667,1279.58333333333,1353.91666666667,1214,1079.41666666667,1120.58333333333,1155.23076923077,1265.66666666667,1397.33333333333,1484.91666666667,1619.33333333333,1601.2
"3",61616,10002,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,749.1,879.25,962.75,1016,941.166666666667,928.583333333333,936.5,983.692307692308,1041.16666666667,1126.58333333333,1221.33333333333,1346.58333333333,1384.4
"4",62037,11226,"Kings",NA,NA,NA,NA,NA,NA,NA,194,229.166666666667,246.083333333333,305.75,335.916666666667,342.916666666667,320.666666666667,322.75,323.5,330.076923076923,357.083333333333,389.416666666667,440.5,500.666666666667,529.4
"5",62087,11375,"Queens",NA,NA,NA,NA,NA,NA,NA,296,334.25,368.5,439.666666666667,451.666666666667,456.083333333333,460.333333333333,430,413.75,424,445.333333333333,476.25,493.333333333333,536,588
"6",62045,11235,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,343.142857142857,320.666666666667,382.5,408.75,425.416666666667,416.75,410.5,416.333333333333,417.769230769231,423.583333333333,437.083333333333,477.333333333333,507.916666666667,519
"7",61623,10009,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,831.1,948.416666666667,1047.16666666667,1116.16666666667,1012.83333333333,921.916666666667,946.833333333333,983.615384615385,1048.25,1118.25,1232.33333333333,1384.25,1432
"8",61643,10029,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.444444444444,661.666666666667,733.166666666667,641,701.166666666667,717,740.846153846154,770.416666666667,861.5,859.583333333333,965.833333333333,1046.4
"9",61703,10128,"New York",NA,NA,NA,NA,NA,NA,NA,NA,722,753.25,866.75,935,990.083333333333,867.583333333333,860.583333333333,880.416666666667,871.692307692308,949.916666666667,1040.58333333333,1075.66666666667,1196.91666666667,1245.4
"10",61802,10462,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.909090909091,164.666666666667,148.166666666667,137.230769230769,140.583333333333,151.75,149.083333333333,164.333333333333,178.6
"11",61796,10456,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,223.083333333333,212.307692307692,214.25,219.333333333333,221.583333333333,242.333333333333,262.2
"12",62017,11206,"Kings",NA,NA,NA,NA,NA,NA,NA,192,207,215.166666666667,249.833333333333,263,293.916666666667,294.166666666667,280,294.25,304.692307692308,310.916666666667,347,390.833333333333,368.75,404.6
"13",62012,11201,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.428571428571,587.333333333333,626.25,650.916666666667,670.916666666667,692.615384615385,798.333333333333,925,1051.66666666667,1134.41666666667,1151
"14",62023,11212,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,220.571428571429,243.333333333333,297.166666666667,315.416666666667,315.25,296.083333333333,257.75,244.833333333333,240,248.083333333333,252,267.416666666667,288.25,330.2
"15",61638,10024,"New York",NA,NA,NA,NA,NA,NA,NA,NA,936,944.666666666667,1069.83333333333,1098.66666666667,1182.5,1021.58333333333,1001.08333333333,1046.33333333333,1091.69230769231,1188.58333333333,1300.25,1355.75,1464.83333333333,1476
"16",62025,11214,"Kings",NA,NA,NA,NA,NA,NA,NA,249,312.666666666667,335.916666666667,378,356,350.833333333333,345.25,374.25,376.333333333333,377.307692307692,398.5,427.416666666667,460.833333333333,503.25,543.8
"17",62088,11377,"Queens",NA,NA,NA,NA,NA,NA,NA,244,287.75,311.416666666667,373.916666666667,381.333333333333,375.75,362.583333333333,362.583333333333,349.25,343.615384615385,355.833333333333,389.75,418.916666666667,476.333333333333,523.2
"18",62044,11234,"Kings",NA,NA,NA,NA,NA,NA,NA,226,284.833333333333,318.333333333333,377.833333333333,372.333333333333,358,332.416666666667,326.333333333333,326.583333333333,318.461538461538,326.916666666667,343.166666666667,357.25,378.416666666667,400.2
"19",62018,11207,"Kings",NA,NA,NA,NA,NA,NA,NA,175,221.75,239.833333333333,274,290.5,278,275.583333333333,266.333333333333,256,245.615384615385,243.416666666667,270.666666666667,296.583333333333,306.916666666667,330.8
"20",62067,11355,"Queens",NA,NA,NA,NA,NA,NA,NA,285.5,298.583333333333,288,320.833333333333,318.416666666667,330,355.5,403.166666666667,383.5,392.615384615385,405.5,442.583333333333,462.333333333333,519.75,570.2
"21",61790,10314,"Richmond",100.777777777778,101.333333333333,106.5,112.75,131.916666666667,149.833333333333,169,192.666666666667,218.666666666667,254.083333333333,277.75,279,264.666666666667,257,249,241.416666666667,238.615384615385,241.833333333333,252.916666666667,262.333333333333,280,302
"22",62026,11215,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,462,441.916666666667,500.083333333333,523,558.416666666667,549.083333333333,580.333333333333,618.916666666667,642.923076923077,738.75,858.333333333333,937.916666666667,1005.91666666667,1051.6
"23",62032,11221,"Kings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.285714285714,218.75,236.538461538462,294.75,394,475.75,545.666666666667,600
