"","ZIPCODE","POPULATION","AREA","COUNTY","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","density"
"139","10464",4438,11587953.826739,"Bronx",NA,NA,NA,NA,NA,NA,NA,261.6,343.333333333333,360.25,435.5,420.916666666667,381.416666666667,374.166666666667,363.5,324,316.153846153846,312.333333333333,296.666666666667,307.583333333333,348.583333333333,362.8,3.83
"134","10461",50549,62824057.5745278,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05
"130","10457",70253,37640607.3793199,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.2,212.666666666667,198.076923076923,191.5,197.5,211.333333333333,239.916666666667,253,18.66
"133","10460",56670,35155666.6460149,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.12
"34","10032",57606,23159566.0923429,"New York",NA,NA,197.25,219.416666666667,275.416666666667,289.75,282,NA,344.75,359.583333333333,418.25,465.083333333333,476.916666666667,433.333333333333,445.75,463.666666666667,446.692307692308,476.416666666667,520.833333333333,587.833333333333,701.083333333333,747.8,24.87
"125","10452",76104,27550385.8533127,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.62
"129","10456",89390,29933452.4363485,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,223.083333333333,212.307692307692,214.25,219.333333333333,221.583333333333,242.333333333333,262.2,29.86
"148","10472",66356,30963245.1883283,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.43
"33","10031",57010,16902152.3659099,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,518.833333333333,493.5,461.833333333333,474.75,506.25,506.692307692308,543.833333333333,591.333333333333,650.75,780.666666666667,831.2,33.73
"42","10039",24234,8419027.88460668,"New York",NA,NA,NA,NA,NA,NA,NA,NA,362.666666666667,337.833333333333,362.333333333333,471.083333333333,542.833333333333,508.75,493.25,499.833333333333,495.153846153846,538.666666666667,563.25,614.583333333333,750.25,793.4,28.78
"132","10459",46804,22551940.5372444,"Bronx",NA,NA,NA,NA,102.2,98.5833333333333,93,101.25,136.75,143.5,177.333333333333,210.833333333333,218.583333333333,216.833333333333,223.083333333333,211.333333333333,189.846153846154,196.5,200.666666666667,184,196.666666666667,211.2,20.75
"124","10451",44140,28944106.5168784,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.25
"149","10473",58284,59522354.5402765,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.79
"32","10030",26720,7757661.4549303,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.666666666667,553.166666666667,502.5,509.416666666667,509.25,498.230769230769,539.75,555.666666666667,598.583333333333,729.333333333333,790.2,34.44
"29","10027",58639,24695278.5042902,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.75
"150","10474",12281,40614090.1902275,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02
"128","10455",39834,19846918.8414558,"Bronx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.07
